"Me : I'm probably just having a bad day...it doesn't mean I have a bad life, woooosah Me at the grocery store 10 min later : https:// twitter.com/TsepisoNzayo/s tatus/926465470970114048 …"
"You fucker...you just had to ruin it for us with your truth. smh pic.twitter.com/itQPpRMlgk"
"The fuckery... @tumisole when are we reporting this account,the nerve of this prick #ReportBasedBritish https:// twitter.com/_BasedBritish/ status/926273812055945222 …"
"Eish for now i'm trying to find something a lil stable buddy"
"YOLO"
"Wish I could make it to #TRACERoots tomoro ...but it's cool I know the King @Sjava_ATM is going to kill it pic.twitter.com/PcO9ZyUANe"
"That Sandy Wexler movie with Adam Sandler...has @KevinHart4real written all over some parts of that script... I hear it pic.twitter.com/p2YR8VoQrr"
"#PresidentKanyeScandals Kim Jong Un doesn't like human beings. pic.twitter.com/aDvywLGsyq"
"@DJFreshSA plz help spread the word https:// twitter.com/BlacFeegar/sta tus/926456808742555653 …"
"@OskidoIBelieve plz help spread the word https:// twitter.com/BlacFeegar/sta tus/926456808742555653 …"
"@euphonik plz help spread the word https:// twitter.com/BlacFeegar/sta tus/926456808742555653 …"
"@JustKholii_ plz help spread the word https:// twitter.com/BlacFeegar/sta tus/926456808742555653 …"
"@RealBlackCoffee plz help spread the word https:// twitter.com/BlacFeegar/sta tus/926456808742555653 …"
"@iamtbotouch plz help spread the word https:// twitter.com/BlacFeegar/sta tus/926456808742555653 …"
"@Sjava_ATM plz help spread d word https:// twitter.com/BlacFeegar/sta tus/926456808742555653 …"
"@djsbu plz help spread de word https:// twitter.com/BlacFeegar/sta tus/926456808742555653 …"
"@MrMenziN plz help spread da word https:// twitter.com/BlacFeegar/sta tus/926456808742555653 …"
"@tumisole plz help spread the word https:// twitter.com/BlacFeegar/sta tus/926456808742555653 …"
"Please help RT Salon owners in Joburg area looking for an extra pair of hands. I'm in Maboneng Please contact me 078 283 2384 Thanks pic.twitter.com/yrzAoogroo"
"Finally someone who understands me!!! https:// twitter.com/reece_youngkin g/status/926361691658620928 …"
