username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
kastorbuh;2017-11-01 10:27;0;0;"Западенцы! Ненавидели нас всегда. Завидовали и ненавидели! одного не пойму - почему так поздно, а не в 1992 ?";;;;"925670504471638017";https://twitter.com/kastorbuh/status/925670504471638017
kastorbuh;2017-11-01 08:25;0;1;"Какая кооперация? Где русских рабочих и инженеров взять, чтоб на заводе работали? Непроглядная глупость или алчность";;;;"925639839302799360";https://twitter.com/kastorbuh/status/925639839302799360
kastorbuh;2017-10-30 14:48;0;0;"Нет пункта - "Не слушаю"";;;;"925011639816081408";https://twitter.com/kastorbuh/status/925011639816081408
kastorbuh;2017-10-25 15:56;0;0;"Палатка Геолог-4";;;;"923216694335729664";https://twitter.com/kastorbuh/status/923216694335729664
kastorbuh;2017-10-14 13:26;0;0;"+1 час к Москве,- поздно шел фильм. но с удовольствием смотрел. А в конце прям явно - Валите! уже пора! И,как же тут не взвыть?";;;;"919192801295953920";https://twitter.com/kastorbuh/status/919192801295953920
kastorbuh;2017-10-13 17:18;0;0;"Терпилы мы.";;;;"918888700813152257";https://twitter.com/kastorbuh/status/918888700813152257
kastorbuh;2017-10-13 17:16;0;2;"На своём вокзале всех бабок знаю. Десятилетия стоят при любой погоде. Квартиры трёшки рядом купили для удобства. И некоторые уже внукам.";;;;"918888098561515522";https://twitter.com/kastorbuh/status/918888098561515522
kastorbuh;2017-10-10 04:49;0;0;"А виноваты - французские путаны. Они ответили за соглашательство.";;;;"917613061154004994";https://twitter.com/kastorbuh/status/917613061154004994
kastorbuh;2017-10-09 16:43;0;0;"И это у него ещё стояк!";;;;"917430340553248769";https://twitter.com/kastorbuh/status/917430340553248769
kastorbuh;2017-10-09 11:52;0;1;"А у нас рабство отменили в 1960. Трудодни в 1963. И мизерная зарплата колхозникам. Так что не всё так гладко.";;;;"917357211835346945";https://twitter.com/kastorbuh/status/917357211835346945
kastorbuh;2017-10-09 08:15;0;0;""Ласковый Май" разлива 1968 г.";;;;"917302584565686273";https://twitter.com/kastorbuh/status/917302584565686273
kastorbuh;2017-10-06 07:26;0;1;"Был там. Но времени у меня мало. И взрослый уже . Не стоял в очереди. Вот мороженное покупал заграничное. Запах хороший, вкус нет.";;;;"916202915710296064";https://twitter.com/kastorbuh/status/916202915710296064
kastorbuh;2017-10-02 18:50;0;1;"Избавь нас , Господи, от таких друзей! Пока компенсации за каждого русского и не русского, убежавших из Грузии с 1988 года, не выплатят !";;;;"914925496089088001";https://twitter.com/kastorbuh/status/914925496089088001
kastorbuh;2017-09-29 11:58;0;0;"Нормальный офис! три... не, - четыре ангара под самолетики! окна чистый пластик. небось, и стулья (лавки) есть.";;;;"913734724308348928";https://twitter.com/kastorbuh/status/913734724308348928
kastorbuh;2017-09-26 15:59;0;0;"логика в предложении есть. Своры собак как террористы гопники на районе. А кормят сердобольные. Прикармливают.Дети бояться ходить.";;;;"912708247710240769";https://twitter.com/kastorbuh/status/912708247710240769
kastorbuh;2017-09-23 13:21;0;1;"В Санкт-Петербурге (Россия) и Москве - так же! тока смесь покруче и негров мало. Вся Азия в гости к нам! от виетнама до ближних.";;;;"911581196324360192";https://twitter.com/kastorbuh/status/911581196324360192
kastorbuh;2017-09-19 17:35;0;1;"У северных оленей рога у самок есть!";;;;"910195754865713153";https://twitter.com/kastorbuh/status/910195754865713153
kastorbuh;2017-09-18 18:06;0;0;"Вот как? И взносы платить не перестанем? То есть деньги на корпоратив сдать и не прийти? И так много раз. В гейропе, в ООН. Смешно.";;;;"909841065380892673";https://twitter.com/kastorbuh/status/909841065380892673
kastorbuh;2017-09-18 08:11;0;0;"Вожди с обоих сторон конфликта не просто похожи,- это те же самые!";;;;"909691459254853632";https://twitter.com/kastorbuh/status/909691459254853632
kastorbuh;2017-09-16 19:39;0;0;"Куда-куда? Кто приказ подписал - Шойгу?";;;;"909139630141865989";https://twitter.com/kastorbuh/status/909139630141865989
